player_name,player_dob,player_height,player_role,player_batstyle,player_bowlingstyle,player_bat_test_rank,player_bat_odi_rank,player_bat_t20_rank,player_bowl_test_rank,player_bowl_odi_rank,player_bowl_t20_rank,player_career,player_test_matches,player_test_innings,player_test_notout,player_test_runs,player_test_highestscore,player_test_batavg,player_test_ballsfaced,player_test_strikerate,player_test_100,player_test_200,player_test_50,player_test_4s,player_test_6s,player_ODI_matches,player_ODI_innings,player_ODI_notout,player_ODI_runs,player_ODI_highestscore,player_ODI_batavg,player_ODI_ballsfaced,player_ODI_strikerate,player_ODI_100,player_ODI_200,player_ODI_50,player_ODI_4s,player_ODI_6s,player_T20_matches,player_T20_innings,player_T20_notout,player_T20_runs,player_T20_highestscore,player_T20_batavg,player_T20_ballsfaced,player_T20_strikerate,player_T20_100,player_T20_200,player_T20_50,player_T20_4s,player_T20_6s,player_IPL_matches,player_IPL_innings,player_IPL_notout,player_IPL_runs,player_IPL_highestscore,player_IPL_batavg,player_IPL_ballsfaced,player_IPL_strikerate,player_IPL_100,player_IPL_200,player_IPL_50,player_IPL_4s,player_IPL_6s,player_test_balls,player_test_wkts,player_test_bestbowlinginn,player_test_bestbowlingmatch,player_test_economy,player_test_avg,player_test_stkrate,player_test_5wkts,player_test_10wkts,player_ODI_balls,player_ODI_wkts,player_ODI_bestbowlinginn,player_ODI_bestbowlingmatch,player_ODI_economy,player_ODI_avg,player_ODI_stkrate,player_ODI_5wkts,player_ODI_10wkts,player_T20_balls,player_T20_wkts,player_T20_bestbowlinginn,player_T20_bestbowlingmatch,player_T20_economy,player_T20_avg,player_T20_stkrate,player_T20_5wkts,player_T20_10wkts,player_IPL_balls,player_IPL_wkts,player_IPL_bestbowlinginn,player_IPL_bestbowlingmatch,player_IPL_economy,player_IPL_avg,player_IPL_stkrate,player_IPL_5wkts,player_IPL_10wkts
Tabraiz Shamsi," Feb 18, 1990 (30 years) ", -- , Bowler , Right Handed Bat , Left-arm chinaman , -- , -- , -- , -- , 53 , 5 ," South Africa, Titans, St Kitts and Nevis Patriots, South Africa A, Royal Challengers Bangalore, Northamptonshire, Stellenbosch Kings, Warriors, Paarl Rocks, Edinburgh Rocks, Hampshire, Jamaica Tallawahs ",2,4,3,278,18,20.0,48,41.67,0,0,0,2,0,22,21,2,993,0,0.0,2,0.0,0,0,0,0,0,22,22,4,596,2,4.0,13,30.77,0,0,0,0,0,4,4,-,147,-,-,-,-,-,-,-,-,-,483,6,3/91,4/128,3.45,46.33,80.5,0,0,1119,26,4/33,4/33,5.32,38.19,43.04,0,0,480,17,2/16,2/16,7.45,35.06,28.24,0,0,96,3,1/21,1/21,9.19,49.0,32.0,0,0
Beuran Hendricks," Jun 08, 1990 (30 years) ", -- , Bowler , Left Handed Bat , Left-arm fast-medium , -- , -- , -- , 72 , -- , 65 ," South Africa, South Africa A, South African Invitation XI, Cape Cobras, Kings XI Punjab, Lions, Bloem City Blazers, Jozi Stars, Mumbai Indians, St Lucia Zouks, Nelson Mandela Bay Giants ",1,2,1,175,5,9.0,18,50.0,0,0,0,1,0,7,5,1,211,3,5.0,14,35.71,0,0,0,0,0,13,13,1,395,12,6.0,22,81.82,0,0,0,0,1,7,7,2,235,1,1.0,3,33.33,0,0,0,0,0,231,6,5/64,6/175,4.55,29.17,38.5,1,0,234,5,3/59,3/59,5.41,42.2,46.8,0,0,265,20,4/14,4/14,8.94,19.75,13.25,0,0,150,9,3/36,3/36,9.4,26.11,16.67,0,0
Martin Guptill," Sep 30, 1986 (33 years) ", -- , Batsman , Right Handed Bat , Right-arm offbreak , -- , 15 , 12 , -- , -- , -- ," New Zealand, New Zealand U19, Derbyshire, Auckland, Sydney Thunder, Guyana Amazon Warriors, St Kitts and Nevis Patriots, Mumbai Indians, Lancashire, Auckland, Kings XI Punjab, New Zealand A, New Zealand XI, Barbados Tridents, Worcestershire, Sunrisers Hyderabad, Edinburgh Rocks ",47,18,1,298,189,29.39,5548,46.61,3,0,17,326,23,183,12,18,98,237,42.24,7824,87.46,16,1,37,695,176,88,1,7,11,105,32.51,1884,134.61,2,0,15,226,119,13,-,1,-,50,22.5,196,137.76,0,0,1,24,15,428,8,3/11,3/11,4.18,37.25,53.5,0,0,109,4,2/6,2/6,5.39,24.5,27.25,0,0,6,0,0/11,0/11,11.0,0.0,0.0,0,0,-,-,-,-,-,-,-,-,-
Ross Taylor," Mar 08, 1984 (36 years) ", -- , Batsman , Right Handed Bat , Right-arm offbreak , 15 , 4 , 42 , -- , -- , -- ," New Zealand, New Zealand U19, Royal Challengers Bangalore, Durham, Rajasthan Royals, Delhi Capitals, Pune Warriors, Trinidad and Tobago, Trinbago Knight Riders, St Lucia Zouks, Central Districts, Sussex, New Zealand A, New Zealand XI, Nottinghamshire, Jamaica Tallawahs, Middlesex, World XI, Guyana Amazon Warriors ",101,7,19,48,290,45.53,12062,60.01,19,3,33,879,52,232,6,39,35,181,48.41,10274,83.4,21,0,51,710,146,100,-,18,-,63,25.8,1556,122.69,0,0,7,122,71,55,2,14,24,81,25.43,822,123.72,0,0,3,66,46,96,2,2/4,2/4,3.0,24.0,48.0,0,0,42,0,0/0,0/0,5.0,0.0,0.0,0,0,-,-,-,-,-,-,-,-,-,12,0,0/11,0/11,12.0,0.0,0.0,0,0
Kane Williamson," Aug 08, 1990 (29 years) ", -- , Batsman , Right Handed Bat , Right-arm offbreak , 5 , 9 , 16 , 85 , -- , -- ," New Zealand, Gloucestershire, Yorkshire, Northern Knights, Sunrisers Hyderabad, New Zealand A, Barbados Tridents, Edmonton Royals ",80,63,13,1178,242,50.99,12543,51.63,21,2,32,706,14,151,65,14,1310,148,47.49,7551,81.76,13,0,39,564,49,60,12,7,164,95,32.65,1332,125.0,0,0,11,170,36,41,1,7,7,89,38.29,964,135.06,0,0,12,110,44,2103,29,4/44,4/44,3.36,40.62,72.52,0,0,1467,37,4/22,4/22,5.36,35.41,39.65,0,0,118,6,2/16,2/16,8.34,27.33,19.67,0,0,6,0,0/7,0/7,7.0,0.0,0.0,0,0
James Neesham," Sep 17, 1990 (29 years) ", -- , Batting Allrounder , Left Handed Bat , Right-arm medium , -- , 67 , -- , -- , 88 , -- ," New Zealand, Auckland, New Zealand U19, New Zealand A, Otago, Delhi Capitals, Guyana Amazon Warriors, Kolkata Knight Riders, Derbyshire, Kent, Wellington, Trinbago Knight Riders, Edmonton Royals, Kings XI Punjab, New Zealand XI ",12,21,1,675,137,33.76,1069,66.32,2,0,4,88,11,63,59,10,2012,97,29.23,1314,97.87,0,0,6,115,30,18,16,4,323,42,16.82,131,141.22,0,0,0,19,8,4,4,0,91,22,14.0,46,91.3,0,0,0,3,1,1076,14,3/42,3/42,3.76,48.21,76.86,0,0,1967,61,5/31,5/31,6.14,32.98,32.25,1,0,226,13,3/16,3/16,8.58,24.85,17.38,0,0,54,1,1/29,1/29,10.11,91.0,54.0,0,0
Colin de Grandhomme," Jul 22, 1986 (34 years) ", -- , Batting Allrounder , Right Handed Bat , Right-arm fast-medium , 30 , 63 , 72 , 33 , 38 , -- ," New Zealand, Auckland, New Zealand A, Kolkata Knight Riders, Warwickshire, Royal Challengers Bangalore, New Zealand XI, Jamaica Tallawahs, Northern Knights, St Lucia Zouks ",24,45,4,1487,105,37.03,1450,81.72,1,0,8,116,37,42,42,7,1180,74,27.77,654,110.4,0,0,4,57,29,36,19,7,445,59,17.96,340,142.65,0,0,3,27,29,25,19,5,319,40,18.94,225,134.67,0,0,0,18,18,3683,47,6/41,7/64,2.42,31.64,78.36,1,0,1458,27,3/26,3/26,4.86,43.7,54.0,0,0,299,11,2/22,2/22,8.93,40.45,27.18,0,0,216,6,3/4,3/4,8.86,53.17,36.0,0,0
Colin Munro," Mar 11, 1987 (33 years) ", -- , Batting Allrounder , Left Handed Bat , Right-arm medium , -- , 80 , 4 , -- , -- , -- ," New Zealand, Auckland, New Zealand A, Worcestershire, Mumbai Indians, Kolkata Knight Riders, Trinbago Knight Riders, Sydney Sixers, Delhi Capitals, Hampshire, Balkh Legends, Karachi Kings, Brampton Wolves, New Zealand XI, Islamabad United ",1,1,0,40,15,7.5,26,57.69,0,0,0,3,0,57,25,2,481,87,24.92,1214,104.7,0,0,8,137,36,65,12,7,186,109,31.35,1102,156.44,3,0,11,132,107,13,2,0,15,40,14.75,141,125.53,0,0,0,19,8,108,2,2/40,2/40,2.22,20.0,54.0,0,0,552,7,2/10,2/10,5.23,68.71,78.86,0,0,118,4,1/12,1/12,9.46,46.5,29.5,0,0,12,0,0/7,0/7,7.5,0.0,0.0,0,0
Mitchell Santner," Feb 05, 1992 (28 years) ", -- , Bowling Allrounder , Left Handed Bat , Left-arm orthodox , 82 , 84 , -- , 60 , 32 , 6 ," New Zealand, Northern Knights, Worcestershire, Chennai Super Kings, New Zealand XI ",22,36,0,1744,126,25.55,1749,42.37,1,0,2,87,17,72,67,22,2661,67,27.18,1046,88.34,0,0,2,64,27,44,43,12,1096,37,14.1,227,124.23,0,0,0,23,7,4,4,1,94,22,32.0,23,139.13,0,0,0,0,3,3746,39,3/53,5/173,2.79,44.72,96.05,0,0,3259,71,5/50,5/50,4.9,37.48,45.9,1,0,893,52,4/11,4/11,7.36,21.08,17.17,0,0,84,4,2/13,2/13,6.71,23.5,21.0,0,0
Trent Boult," Jul 22, 1989 (31 years) ", -- , Bowler , Right Handed Bat , Left-arm fast-medium , -- , -- , -- , 9 , 1 , 60 ," New Zealand, New Zealand A, Northern Knights, Sunrisers Hyderabad, Kolkata Knight Riders, Delhi Capitals, Toronto Nationals, Mumbai Indians ",67,127,39,7384,52,15.21,1149,56.92,0,0,1,64,29,90,90,23,4148,21,9.35,213,74.65,0,0,0,15,6,27,27,3,854,8,4.4,32,68.75,0,0,0,1,0,33,33,3,1120,6,6.0,14,85.71,0,0,0,0,1,14874,267,6/30,10/80,2.98,27.66,55.71,8,1,4944,164,7/34,7/34,5.03,25.29,30.15,5,0,593,39,4/34,4/34,8.64,21.9,15.21,0,0,765,38,3/19,3/19,8.78,29.47,20.13,0,0
Matt Henry," Dec 14, 1991 (28 years) ", -- , Bowler , Right Handed Bat , Right-arm fast-medium , -- , -- , -- , 61 , 8 , -- ," New Zealand, New Zealand A, Chennai Super Kings, Canterbury, Worcestershire, New Zealand XI, Kings XI Punjab, Derbyshire, Kent, Edinburgh Rocks ",12,23,4,1505,66,18.67,293,76.45,0,0,1,32,5,52,50,7,2437,48,15.07,211,100.0,0,0,0,19,9,6,6,1,191,10,10.0,5,200.0,0,0,0,2,0,2,2,-,71,-,-,-,-,-,-,-,-,-,2761,30,4/93,6/105,3.27,50.17,92.03,0,0,2703,92,5/30,5/30,5.41,26.49,29.38,2,0,132,7,3/44,3/44,8.68,27.29,18.86,0,0,30,1,1/31,1/31,14.2,71.0,30.0,0,0
Tim Southee," Dec 11, 1988 (31 years) ", -- , Bowler , Right Handed Bat , Right-arm fast-medium , -- , -- , -- , 4 , 39 , 16 ," New Zealand, New Zealand U19, Chennai Super Kings, Essex, Basnahira Cricket Dundee, Rajasthan Royals, Northern Knights, Mumbai Indians, New Zealand A, Middlesex, Royal Challengers Bangalore, Vancouver Knights ",73,136,9,8237,77,17.38,1943,85.85,0,0,5,164,72,143,141,32,6557,55,12.61,696,97.84,0,0,1,53,26,70,68,12,2106,39,11.89,155,145.81,0,0,0,15,15,40,40,6,1293,36,14.38,90,127.78,0,0,0,8,4,16393,284,7/64,10/108,3.01,29.0,57.72,10,1,7195,190,7/33,7/33,5.47,34.51,37.87,3,0,1494,78,5/18,5/18,8.46,27.0,19.15,1,0,888,28,3/24,3/24,8.74,46.18,31.71,0,0
Ish Sodhi," Oct 31, 1992 (27 years) ", -- , Bowler , Right Handed Bat , Right-arm legbreak , -- , -- , -- , -- , 40 , 15 ," New Zealand U19, New Zealand A, New Zealand, Northern Knights, Adelaide Strikers, Nottinghamshire, New Zealand XI, Rajasthan Royals, Jamaica Tallawahs, Brampton Wolves, St Kitts and Nevis Patriots ",17,31,4,1992,63,21.33,851,52.64,0,0,3,51,7,33,32,3,1508,24,7.36,104,77.88,0,0,0,4,4,45,44,4,1277,16,18.75,66,113.64,0,0,0,4,5,8,8,0,202,6,3.5,17,41.18,0,0,0,0,0,3186,41,4/60,7/79,3.75,48.59,77.71,0,0,1620,43,4/58,4/58,5.59,35.07,37.67,0,0,951,53,3/18,3/18,8.06,24.09,17.94,0,0,181,9,3/26,3/26,6.7,22.44,20.11,0,0
Lockie Ferguson," Jun 13, 1991 (29 years) ", -- , Bowler , Right Handed Bat , Right-arm fast , -- , -- , -- , -- , 10 , 79 ," Auckland, New Zealand A, New Zealand, Rising Pune Supergiant, Derbyshire, Kolkata Knight Riders, New Zealand XI ",1,1,2,47,1,0.0,9,11.11,0,0,0,0,0,37,37,7,1779,19,7.0,132,47.73,0,0,0,3,1,8,8,0,222,1,1.0,3,33.33,0,0,0,0,0,9,9,1,276,1,0.0,1,100.0,0,0,0,0,0,66,0,0/47,0/47,4.27,0.0,0.0,0,0,1956,69,5/45,5/45,5.46,25.78,28.35,1,0,186,14,3/21,3/21,7.16,15.86,13.29,0,0,180,5,2/7,2/7,9.2,55.2,36.0,0,0
Aaron Finch," Nov 17, 1986 (33 years) ", 1.74 m , Batsman , Right Handed Bat , Left-arm orthodox , -- , 8 , 3 , -- , -- , -- ," Victoria, Rajasthan Royals, Australia, Delhi Capitals, Melbourne Renegades, Ruhuna Royals, Pune Warriors, Trinidad and Tobago, Australia A, Cricket Australia Invitational XI, Sunrisers Hyderabad, Yorkshire, Marylebone Cricket Club, Mumbai Indians, Gujarat Lions, Surrey, Victoria XI, Kings XI Punjab, Royal Challengers Bangalore ",5,1,0,8,62,27.8,618,44.98,0,0,2,30,1,126,21,3,259,153,41.03,5504,88.7,16,0,26,483,119,61,2,9,27,172,38.25,1276,155.88,2,0,12,196,92,75,5,6,67,88,25.93,1329,130.7,0,0,13,176,67,12,0,0/8,0/8,4.0,0.0,0.0,0,0,284,4,1/2,1/2,5.47,64.75,71.0,0,0,12,0,0/9,0/9,13.5,0.0,0.0,0,0,43,1,1/11,1/11,9.35,67.0,43.0,0,0
Steven Smith," Jun 02, 1989 (31 years) ", -- , Batsman , Right Handed Bat , Right-arm legbreak , 1 , 22 , 52 , 94 , -- , -- ," Australia, Royal Challengers Bangalore, New South Wales, Worcestershire, Kochi Tuskers Kerala, Sydney Sixers, Pune Warriors, Antigua Hawksbills, Australians, Rajasthan Royals, Sydney Thunder, Rising Pune Supergiant, Toronto Nationals, Barbados Tridents, Comilla Victorians, Multan Sultans ",73,54,16,960,239,62.84,13068,55.3,26,3,29,799,42,125,40,12,971,164,42.47,4802,86.67,9,0,25,352,36,39,17,8,378,90,29.61,521,130.71,0,0,4,59,16,81,1,18,5,101,37.44,1568,128.95,1,0,8,180,49,1381,17,3/18,4/83,4.17,56.47,81.24,0,0,1076,28,3/16,3/16,5.41,34.68,38.43,0,0,291,17,3/20,3/20,7.79,22.24,17.12,0,0,2,0,0/5,0/5,0.0,0.0,0.0,0,0
David Warner," Oct 27, 1986 (33 years) ", 1.70 m , Batsman , Left Handed Bat , Right-arm legbreak , 7 , 6 , 18 , -- , -- , -- ," Australia, Delhi Capitals, New South Wales, Middlesex, Cricket Australia Chairmans XI, Sydney Thunder, Sydney Sixers, Australians, Sunrisers Hyderabad, Winnipeg Hawks, St Lucia Zouks, Sylhet Sixers, Australia A ",84,19,7,269,335,48.95,9942,72.86,24,2,30,852,56,123,1,5,8,179,45.41,5500,95.76,18,0,21,555,82,79,-,9,-,100,31.53,1571,140.48,1,0,17,215,89,126,-,17,-,126,43.17,3305,142.39,4,0,44,459,180,342,4,2/45,2/45,4.72,67.25,85.5,0,0,6,0,0/8,0/8,8.0,0.0,0.0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Glenn Maxwell," Oct 14, 1988 (31 years) ", -- , Batting Allrounder , Right Handed Bat , Right-arm offbreak , -- , 32 , 5 , -- , -- , -- ," Australia, Victoria, Cricket Australia Chairmans XI, Melbourne Renegades, Delhi Capitals, Hampshire, Melbourne Stars, Mumbai Indians, Surrey, Australia A, Kings XI Punjab, Yorkshire, Lancashire ",7,9,1,341,104,26.08,570,59.47,1,0,0,33,7,110,86,11,2525,102,32.33,2332,123.37,1,0,19,289,94,61,40,9,704,145,35.02,985,160.0,3,0,7,133,81,69,43,7,611,95,22.9,867,161.13,0,0,6,109,91,462,8,4/127,4/127,4.43,42.62,57.75,0,0,2698,50,4/46,4/46,5.62,50.5,53.96,0,0,564,26,3/10,3/10,7.49,27.08,21.69,0,0,420,16,2/15,2/15,8.73,38.19,26.25,0,0
Pat Cummins," May 08, 1993 (27 years) ", 1.92 m , Bowler , Right Handed Bat , Right-arm fast , -- , -- , -- , 1 , 4 , 18 ," Australia, New South Wales, Sydney Sixers, Perth Scorchers, Australia A, Kolkata Knight Riders, Sydney Thunder, Delhi Capitals, Mumbai Indians ",30,57,6,3121,63,17.03,1680,38.51,0,0,2,69,10,64,64,13,2893,36,9.63,355,73.24,0,0,0,19,4,28,28,4,715,13,5.0,37,94.59,0,0,0,2,1,16,16,4,499,24,12.83,55,140.0,0,0,0,5,4,6761,143,6/23,10/62,2.77,21.83,47.28,5,1,3363,105,5/70,5/70,5.16,27.55,32.03,1,0,624,36,3/15,3/15,6.88,19.86,17.33,0,0,361,17,2/20,2/20,8.29,29.35,21.24,0,0
Mitchell Starc," Jan 30, 1990 (30 years) ", 1.96 m , Bowler , Left Handed Bat , Left-arm fast , 85 , -- , -- , 7 , 11 , 23 ," Australia, New South Wales, Sydney Sixers, Yorkshire, Australians, Royal Challengers Bangalore, Sydney Thunder, Kolkata Knight Riders, Australia A ",57,109,17,6583,99,22.28,2209,68.58,0,0,10,152,41,91,91,19,3957,52,11.59,424,87.5,0,0,1,27,9,31,31,4,802,7,5.25,23,91.3,0,0,0,0,1,27,26,5,693,29,13.71,98,97.96,0,0,0,10,0,11753,244,6/50,11/94,3.36,26.98,48.17,13,2,4648,178,6/28,6/28,5.11,22.23,26.11,7,0,696,43,3/11,3/11,6.91,18.65,16.19,0,0,580,34,4/15,4/15,7.17,20.38,17.06,0,0
Shakib Al Hasan," Mar 24, 1987 (33 years) ", -- , Batting Allrounder , Left Handed Bat , Left-arm orthodox , -- , -- , -- , -- , -- , -- ," Bangladesh, Worcestershire, Kolkata Knight Riders, Khulna Royal Bengals, Uthura Rudras, Dhaka Gladiators, Leicestershire, Barbados Tridents, Adelaide Strikers, Melbourne Renegades, Rangpur Riders, Karachi Kings, Jamaica Tallawahs, Dhaka Dynamites, Peshawar Zalmi, Sunrisers Hyderabad, World XI, Brampton Wolves ",56,95,7,6536,217,39.41,6224,62.05,5,1,24,475,19,206,203,26,7857,134,37.64,7641,82.75,9,0,47,574,42,76,75,9,1893,84,23.74,1265,123.87,0,0,9,163,33,63,62,11,1652,66,21.31,589,126.66,0,0,2,70,20,13020,210,7/36,10/124,3.01,31.12,62.0,18,2,10517,260,5/29,5/29,4.48,30.22,40.45,2,0,1667,92,5/20,5/20,6.81,20.58,18.12,1,0,1328,59,3/17,3/17,7.46,28.0,22.51,0,0
Mashrafe Mortaza," Oct 05, 1983 (36 years) ", -- , Bowler , Right Handed Bat , Right-arm fast-medium , -- , -- , -- , -- , 46 , -- ," Bangladesh, Asia XI, Kolkata Knight Riders, Dhaka Gladiators, Bangladesh Cricket Board XI, Comilla Victorians, Rangpur Riders, Dhaka Platoon ",36,51,5,3239,79,12.85,1186,67.2,0,0,3,95,22,220,220,28,8897,51,13.75,2041,87.56,0,0,1,149,62,54,53,11,1528,36,13.46,278,135.61,0,0,0,28,23,1,1,1,58,2,0.0,2,100.0,0,0,0,0,0,5990,78,4/60,5/88,3.24,41.53,76.79,0,0,10928,270,6/26,6/26,4.88,32.95,40.47,1,0,1139,42,4/19,4/19,8.05,36.38,27.12,0,0,24,0,0/58,0/58,14.5,0.0,0.0,0,0
Mustafizur Rahman," Sep 06, 1995 (24 years) ", -- , Bowler , Left Handed Bat , Left-arm fast-medium , -- , -- , -- , 56 , 17 , 32 ," Bangladesh, Bangladesh U19, Dhaka Dynamites, Lahore Qalandars, Sunrisers Hyderabad, Sussex, Rajshahi Kings, Mumbai Indians, Bangladesh A, Rangpur Rangers, Asia XI ",13,21,6,985,16,4.31,138,40.58,0,0,0,3,4,58,57,17,2512,18,7.8,136,57.35,0,0,0,9,0,41,41,5,1191,15,4.3,55,78.18,0,0,0,3,3,24,24,1,685,1,1.0,3,33.33,0,0,0,0,0,1845,28,4/37,5/66,3.2,35.18,65.89,0,0,2885,109,6/43,6/43,5.22,23.05,26.47,5,0,901,58,5/22,5/22,7.93,20.53,15.53,1,0,547,24,3/16,3/16,7.51,28.54,22.79,0,0
Darren Bravo," Feb 06, 1989 (31 years) ", -- , Batsman , Left Handed Bat , Right-arm fast-medium , 70 , -- , -- , -- , -- , -- ," West Indies, Nottinghamshire, Trinidad and Tobago, Deccan Chargers, Trinbago Knight Riders, Kolkata Knight Riders, Comilla Victorians, Multan Sultans, Winnipeg Hawks, West Indies A, West Indies Cricket Board President XI ",54,1,4,2,218,37.3,7799,44.95,8,1,17,400,41,112,-,11,-,124,29.92,4132,70.23,3,0,18,239,68,20,-,1,-,43,20.0,317,107.26,0,0,0,28,13,1,-,1,-,6,0.0,5,120.0,0,0,0,1,0,6,0,0/2,0/2,2.0,0.0,0.0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Chris Gayle," Sep 21, 1979 (40 years) ", -- , Batsman , Left Handed Bat , Right-arm offbreak , -- , 60 , -- , -- , -- , -- ," West Indies, ICC World XI, Kolkata Knight Riders, Stanford Superstars, Western Australia, Royal Challengers Bangalore, Sydney Thunder, Barisal Burners, Somerset, Uva Next, Dhaka Gladiators, Jamaica Tallawahs, Dolphins, Lions, Barisal Bulls, Melbourne Renegades, Lahore Qalandars, Chittagong Vikings, Karachi Kings, St Kitts and Nevis Patriots, Cape Town Knight Riders, Rangpur Riders, Kings XI Punjab, Vancouver Knights, UWI Vice Chancellors XI, Balkh Legends, Jozi Stars, Kerala Knights, Chattogram Challengers, World XI ",103,104,11,3120,333,42.19,11970,60.28,15,3,37,1046,98,300,199,16,5926,215,37.7,12019,87.2,25,1,54,1128,331,58,23,4,377,117,32.54,1139,142.84,2,0,13,138,105,125,37,15,724,175,41.14,2969,151.03,6,0,28,369,326,7109,73,5/34,6/81,2.63,42.74,97.38,2,0,7424,167,5/46,5/46,4.79,35.49,44.46,1,0,319,17,2/15,2/15,7.09,22.18,18.76,0,0,549,18,3/21,3/21,7.91,40.22,30.5,0,0
Jason Holder," Nov 05, 1991 (28 years) ", -- , Bowling Allrounder , Right Handed Bat , Right-arm fast-medium , 41 , 88 , -- , 5 , 56 , 85 ," West Indies, West Indies A, Chennai Super Kings, Barbados Tridents, Sunrisers Hyderabad, Quetta Gladiators, Kolkata Knight Riders, Comilla Victorians, West Indies Cricket Board President XI, UWI Vice Chancellors XI, Northamptonshire, WI Holder XI ",43,75,12,3097,202,31.94,3397,59.23,3,1,8,237,34,113,111,19,4948,99,24.95,1931,94.3,0,0,9,130,58,17,17,2,524,26,12.33,84,132.14,0,0,0,10,4,11,11,0,306,16,7.6,31,122.58,0,0,0,4,2,7212,116,6/42,11/103,2.58,26.7,62.17,7,1,5347,136,5/27,5/27,5.55,36.38,39.32,2,0,373,13,2/23,2/23,8.43,40.31,28.69,0,0,216,5,2/20,2/20,8.5,61.2,43.2,0,0
Andre Russell," Apr 29, 1988 (32 years) ", -- , Bowling Allrounder , Right Handed Bat , Right-arm fast , -- , -- , -- , -- , -- , -- ," West Indies, Khulna Royal Bengals, Delhi Capitals, Sylhet Royals, Jamaica Tallawahs, Worcestershire, West Indies A, Kolkata Knight Riders, Knights, Melbourne Renegades, Comilla Victorians, Sydney Thunder, Islamabad United, Nottinghamshire, Dhaka Dynamites, Vancouver Knights, UWI Vice Chancellors XI, Nangarhar Leopards, Northern Warriors, Multan Sultans, Rajshahi Royals ",1,2,0,104,2,2.0,9,22.22,0,0,0,0,0,56,55,9,2229,92,27.21,794,130.23,0,0,4,94,57,49,42,14,974,47,20.0,357,151.26,0,0,0,32,42,64,61,10,1538,88,33.33,751,186.42,0,0,8,96,120,138,1,1/73,1/104,4.52,104.0,138.0,0,0,2290,70,4/35,4/35,5.84,31.84,32.71,0,0,643,26,2/10,2/10,9.09,37.46,24.73,0,0,1039,55,4/20,4/20,8.88,27.96,18.89,0,0
Carlos Brathwaite," Jul 18, 1988 (32 years) ", -- , Bowling Allrounder , Right Handed Bat , Right-arm fast-medium , -- , -- , -- , -- , 95 , 75 ," West Indies, Barbados Tridents, Antigua Hawksbills, St Kitts and Nevis Patriots, Delhi Capitals, Barisal Bulls, Sydney Thunder, West Indies Cricket Board President XI, UWI Vice Chancellors XI, Khulna Titans, Sydney Sixers, Sunrisers Hyderabad, Kent, Rajputs, Kolkata Knight Riders, Lahore Qalandars, Peshawar Zalmi, Jamaica Tallawahs ",3,4,1,242,69,45.25,284,63.73,0,0,3,12,7,43,40,3,1766,101,16.44,614,91.04,1,0,1,38,24,41,39,6,1013,37,14.76,274,113.14,0,0,0,13,22,16,16,1,379,43,13.92,111,163.06,0,0,0,10,16,408,1,1/30,1/139,3.56,242.0,408.0,0,0,1825,43,5/27,5/27,5.81,41.07,42.44,1,0,709,31,3/20,3/20,8.57,32.68,22.87,0,0,254,13,3/47,3/47,8.95,29.15,19.54,0,0
Kemar Roach," Jun 30, 1988 (32 years) ", -- , Bowler , Right Handed Bat , Right-arm fast , -- , -- , -- , 15 , 65 , -- ," West Indies, Deccan Chargers, Worcestershire, Wayamba United, Brisbane Heat, Antigua Hawksbills, St Lucia Zouks, West Indies Cricket Board President XI, West Indies A, Jamaica Tallawahs, WI Holder XI ",59,106,19,5530,41,11.91,2328,38.87,0,0,0,106,9,92,90,34,3765,34,13.39,576,53.47,0,0,0,24,6,11,11,1,284,3,0.0,2,150.0,0,0,0,0,0,2,2,0,80,10,10.0,9,111.11,0,0,0,1,0,10720,201,6/48,10/146,3.1,27.51,53.33,9,1,4459,124,6/27,6/27,5.07,30.36,35.96,3,0,234,10,2/25,2/25,7.28,28.4,23.4,0,0,48,0,0/32,0/32,10.0,0.0,0.0,0,0
